word,score
medeva,14.018808527627751
marimastat,13.558038582490815
peptide,13.305562403064327
courtaulds,13.035660702596823
refsum,11.307200811129587
zantac,10.846430865992652
bogie,10.034140894147672
enviromed,9.380621471794626
migraine,9.380621471794626
milumil,9.380621471794626
antibodies,9.380621471794626
rothwell,9.380621471794626
tencel,9.007765855748614
gastric,8.595593094631425
marimastats,8.595593094631425
spall,8.595593094631425
rprs,8.595593094631425
zwanziger,8.134823149494489
ici,8.134823149494489
antibody,8.134823149494489
medevas,8.134823149494489
cortecs,8.134823149494489
rediker,7.612445269600498
ovarian,7.009404263813876
pancreatic,7.009404263813876
erling,7.009404263813876
chiroscience,7.009404263813876
therapeutic,7.009404263813876
padfield,7.009404263813876
mccullagh,7.009404263813876
tioxide,7.009404263813876
protease,7.009404263813876
viscose,7.009404263813876
aft,7.009404263813876
rentokil,6.29615813925045
leng,6.29615813925045
selfcare,6.29615813925045
viyella,6.29615813925045
nolvadex,6.29615813925045
zenecas,6.29615813925045
retrovir,6.29615813925045
rosenkranz,6.29615813925045
accolate,6.29615813925045
woolf,6.29615813925045
rhie,6.29615813925045
chiswell,6.29615813925045
dermagraft,5.423215432996326
laporte,5.423215432996326
howden,5.423215432996326
wieczorek,5.423215432996326
hepagene,5.423215432996326
rizla,5.423215432996326
enviromeds,4.297796547315713
howdens,4.297796547315713
novopharm,4.297796547315713
biggestselling,4.297796547315713
skyepharma,4.297796547315713
cps,4.297796547315713
avalon,4.297796547315713
biomedix,4.297796547315713
geimer,4.297796547315713
ecc,4.297796547315713
ofgas,4.297796547315713
biotechs,2.711607716498163
colorectal,2.711607716498163
oxfordbased,2.711607716498163
enzyme,2.711607716498163
alcon,2.711607716498163
epivir,2.711607716498163
imigran,2.711607716498163
poste,2.711607716498163
casodex,2.711607716498163
tablet,2.711607716498163
viral,2.711607716498163
peptides,2.711607716498163
milupa,2.711607716498163
colloids,2.711607716498163
farrar,2.711607716498163
phosphates,2.711607716498163
fabrics,2.711607716498163
heightman,2.711607716498163
